id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1295472776715722752,1295472776715722752,1597699753000,2020-08-17,17:29:13,EDT,1013505383514509312,boardmangetspai,🕶,,How are there already shitty romantic movies about COVID,[],[],[],0,0,0,[],[],https://twitter.com/boardmangetspai/status/1295472776715722752,False,,0,,,,,,,"[{'user_id': '1013505383514509312', 'username': 'boardmangetspai'}]",,,,
1295472115345313793,1295454897689604097,1597699595000,2020-08-17,17:26:35,EDT,761993892673708032,looming_meadows,Looming Meadows,,"Trump assembled his COVID task force while the Democrats were putting their energy into impeaching him. He banned travel from China and Europe, which even Fauci said helped, and was called racist for it. DeBlasio encouraged everyone to ""not be afraid"" & go dine and see movies.","['ddpag1', '_reaalamerican_', 'itsjefftiedrich', 'realdonaldtrump']",[],[],1,0,0,[],[],https://twitter.com/Looming_Meadows/status/1295472115345313793,False,,0,,,,,,,"[{'user_id': '761993892673708032', 'username': 'Looming_Meadows'}, {'user_id': '888145059958276097', 'username': 'Ddpag1'}, {'user_id': '996157289026473985', 'username': '_ReaalAmerican_'}, {'user_id': '1009577803304656896', 'username': 'itsJeffTiedrich'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1295471377298980866,1295457955597504513,1597699419000,2020-08-17,17:23:39,EDT,45538440,mrewanmorrison,ewan morrison,,I suspect that the carefree joy of the cinema won't fully return until we have our Covid-19 vaccinations sorted out.  Whether or not we have evidence of virus dispersal in cinemas.,['katekelton'],[],[],1,0,1,[],[],https://twitter.com/MrEwanMorrison/status/1295471377298980866,False,,0,,,,,,,"[{'user_id': '45538440', 'username': 'MrEwanMorrison'}, {'user_id': '17945218', 'username': 'katekelton'}]",,,,
1295470639772577796,1295470639772577796,1597699243000,2020-08-17,17:20:43,EDT,3060958268,farmcannabis,The Original FARM,,"""People of British Columbia! Please do not go out to parties and BBQs and other large gatherings! The COVID is still out there! It’s more fun to hang out alone and smoke weed and watch movies and TV shows anyway! Do that instead! Thank you!""  - @sethrogen pic.twitter.com/mBZZyxukE5",['sethrogen'],[],['https://pbs.twimg.com/media/EfpviCXX0AUchLJ.png'],0,1,5,[],[],https://twitter.com/FarmCannabis/status/1295470639772577796,False,,0,,,,,,,"[{'user_id': '3060958268', 'username': 'FarmCannabis'}, {'user_id': '443215941', 'username': 'Sethrogen'}]",,,,
1295470138582540288,1295470138582540288,1597699124000,2020-08-17,17:18:44,EDT,1092675095280214016,ms_fej,SelfLove❤💯,,"What I've learnt during this Covid 19 in Nigeria, Everybody is fighting for their pockets!!

Pastors are fighting for their own

Actors and Actresses are fighting for the Cinemas to be open.

Market men and women want the market fully open!!!

Everybody OYO🚶🏻‍♀️",[],[],[],2,7,33,[],[],https://twitter.com/Ms_Fej/status/1295470138582540288,False,,0,,,,,,,"[{'user_id': '1092675095280214016', 'username': 'Ms_Fej'}]",,,,
1295469678987554817,1295469678987554817,1597699014000,2020-08-17,17:16:54,EDT,1226150290300252161,ctrinow,CTRLNOW,,"Seth Rogen wants to help stop the spread of COVID. Rogen says to “hang out alone and smoke weed and watch movies” instead of going out and partying.

Listen to Seth Rogen.
 https://bit.ly/2DTLW9v  pic.twitter.com/jjMv9wbDHr",[],['https://bit.ly/2DTLW9v'],"['https://pbs.twimg.com/media/EfpuzffXkAAK7Jj.jpg', 'https://pbs.twimg.com/media/EfpuzffXkAIQRN9.jpg']",0,1,4,[],[],https://twitter.com/ctrInow/status/1295469678987554817,False,,0,,,,,,,"[{'user_id': '1226150290300252161', 'username': 'ctrInow'}]",,,,
1295468537499332608,1295467559995809799,1597698742000,2020-08-17,17:12:22,EDT,74245408,thetownlybomb,TheTownlyBomb,,how many bad movies do you think we'll see have COVID social distancing stuff in them if we're not literally just living like this forever,['matthewferrari'],[],[],1,0,2,[],[],https://twitter.com/Thetownlybomb/status/1295468537499332608,False,,0,,,,,,,"[{'user_id': '74245408', 'username': 'Thetownlybomb'}, {'user_id': '348698075', 'username': 'MatthewFerrari'}]",,,,
1295467890637000706,1295467890637000706,1597698588000,2020-08-17,17:09:48,EDT,3730390996,dandawes85,Dan Dawes,,"Yep. It was a trial, and had due to happen earlier but for the recent delay in easing lockdown. I’m hoping the trial was successful (ie, no COVID cases) which will help pave the way for theatres to open with more audience.  https://twitter.com/westendproducer/status/1295381568870121478 …",[],['https://twitter.com/westendproducer/status/1295381568870121478'],[],0,0,1,[],[],https://twitter.com/DanDawes85/status/1295467890637000706,False,https://twitter.com/westendproducer/status/1295381568870121478,0,,,,,,,"[{'user_id': '3730390996', 'username': 'DanDawes85'}]",,,,
1295467567713312771,1295467567713312771,1597698511000,2020-08-17,17:08:31,EDT,750374969457176576,trm12009,tom miller,,"Movie theaters are about to open again. They're not doing enough  https://mashable.com/article/movie-theaters-shouldnt-be-reopening-covid-19-pandemic/ … 
I don't want them to do anything except open! I wanna watch movies! If you don't stay home! Covid 19 killed enough businesses! Because of our letting government control us!",[],['https://mashable.com/article/movie-theaters-shouldnt-be-reopening-covid-19-pandemic/'],[],0,0,0,[],[],https://twitter.com/trm12009/status/1295467567713312771,False,,0,,,,,,,"[{'user_id': '750374969457176576', 'username': 'trm12009'}]",,,,
1295466136058777601,1295465426193915920,1597698170000,2020-08-17,17:02:50,EDT,139635815,mterryscrnwrtr,Screenwriter Guy,,"Probably less than 10,000 dead of the Covid, people back to their jobs, going to the movies, fans in the stands at baseball parks, football starting in the fall, children back to school in safe environments - ALL OF THIS.",['joebiden'],[],[],0,1,8,[],[],https://twitter.com/MTerryScrnwrtr/status/1295466136058777601,False,,0,,,,,,,"[{'user_id': '139635815', 'username': 'MTerryScrnwrtr'}, {'user_id': '939091', 'username': 'JoeBiden'}]",,,,
