,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
17070,tt0075148,Rocky,Rocky,1976,1977-04-29,"Drama, Sport",120,USA,English,John G. Avildsen,Sylvester Stallone,Chartoff-Winkler Productions,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin, Al Silvani, George Memmoli, Jodi Letizia, Diana Lewis, George O'Hanlon, Larry Carroll",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,8.1,484391,960000.0,117235147.0,117235147.0,70.0,652.0,176.0
17102,tt0075223,Silver Streak,Silver Streak,1976,1977-04-29,"Action, Comedy, Crime",114,USA,English,Arthur Hiller,Colin Higgins,Frank Yablans Presentations,"Gene Wilder, Jill Clayburgh, Richard Pryor, Patrick McGoohan, Ned Beatty, Clifton James, Ray Walston, Stefan Gierasch, Len Birman, Valerie Curtin, Lucille Benson, Scatman Crothers, Richard Kiel, Fred Willard, Delos V. Smith Jr.","On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train.",6.9,16711,6500000.0,51079064.0,51079064.0,41.0,102.0,46.0
17118,tt0075265,A Star Is Born,A Star Is Born,1976,1977-04-08,"Drama, Music, Romance",139,USA,English,Frank Pierson,"John Gregory Dunne, Joan Didion",Barwood Films,"Barbra Streisand, Kris Kristofferson, Gary Busey, Oliver Clark, Venetta Fields, Clydie King, Marta Heflin, M.G. Kelly, Sally Kirkland, Joanne Linville, Uncle Rudy, Paul Mazursky, Stephen Bruton, Sammy Lee Creason, Cleve Dupin","A has-been rock star falls in love with a young, up-and-coming songstress.",6.1,9013,6000000.0,80000000.0,80000000.0,59.0,90.0,47.0
17346,tt0076070,The Gauntlet,The Gauntlet,1977,1977-12-23,"Action, Crime, Thriller",109,USA,English,Clint Eastwood,"Michael Butler, Dennis Shryack",Warner Bros.,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince, Bill McKinney, Michael Cavanaugh, Carole Cook, Mara Corday, Doug McGrath, Jeff Morris, Samantha Doane, Roy Jenson, Dan Vadis, Carver Barnes, Robert Barrett","A hard but mediocre cop is assigned to escort a prostitute into custody from Las Vegas to Phoenix, so that she can testify in a mob trial. But a lot of people are literally betting that they won't make it into town alive.",6.4,19610,5500000.0,26414658.0,26414658.0,59.0,111.0,46.0
17375,tt0076138,Heroes,Heroes,1977,1977-11-17,"Comedy, Drama",112,USA,English,Jeremy Kagan,James Carabatsos,David Foster Productions,"Henry Winkler, Sally Field, Harrison Ford, Val Avery, Olivia Cole, Hector Elias, Dennis Burkley, Tony Burton, Michael Cavanaugh, Helen Craig, John Finnegan, Betty McGuire, John O'Leary, Tom Rosqui, Fred Stuthman",A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to start a worm farm in California with his fellow veterans.,6.1,1530,3200000.0,33500000.0,33500000.0,35.0,27.0,9.0
17377,tt0076141,High Anxiety,High Anxiety,1977,1977-12-25,"Comedy, Mystery, Thriller",94,USA,English,Mel Brooks,"Mel Brooks, Ron Clark",Crossbow Productions,"Mel Brooks, Madeline Kahn, Cloris Leachman, Harvey Korman, Ron Carey, Howard Morris, Dick Van Patten, Jack Riley, Charlie Callas, Ron Clark, Rudy De Luca, Barry Levinson, Lee Delano, Richard Stahl, Darrell Zwerling","A psychiatrist with intense acrophobia (fear of heights) goes to work for a mental institution run by doctors who appear to be crazier than their patients, and have secrets that they are willing to commit murder to keep.",6.7,18605,4015000.0,31063038.0,31063038.0,55.0,123.0,58.0
17425,tt0076263,Killer of Sheep,Killer of Sheep,1978,1978-11-14,Drama,80,USA,English,Charles Burnett,Charles Burnett,unknown,"Henry G. Sanders, Kaycee Moore, Charles Bracy, Angela Burnett, Eugene Cherry, Jack Drummond, Slim, Delores Farley, Dorothy Stengel, Tobar Mayo, Chris Terrill, Lawrence Pierott, Russell Miles, Homer Jai, Johnny Smoke","Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support.",7.3,5596,100000.0,404508.0,468460.0,95.0,36.0,92.0
17481,tt0076451,"New York, New York","New York, New York",1977,1977-09-23,"Drama, Music, Musical",155,USA,English,Martin Scorsese,"Earl Mac Rauch, Mardik Martin",Chartoff-Winkler Productions,"Liza Minnelli, Robert De Niro, Lionel Stander, Barry Primus, Mary Kay Place, Georgie Auld, George Memmoli, Dick Miller, Murray Moston, Leonard Gaines, Clarence Clemons, Kathi McGinnis, Norman Palmer, Adam David Winkler, Dimitri Logothetis","An egotistical saxophonist and a young singer meet on V-J Day and embark upon a strained and rocky romance, even as their careers begin a long, up-hill climb.",6.7,16711,14000000.0,16400000.0,16400000.0,62.0,87.0,68.0
17504,tt0076538,Pete's Dragon,Pete's Dragon,1977,1978-12-08,"Animation, Adventure, Comedy",128,USA,English,Don Chaffey,"Malcolm Marmorstein, Seton I. Miller",Walt Disney Productions,"Helen Reddy, Jim Dale, Mickey Rooney, Red Buttons, Shelley Winters, Sean Marshall, Jane Kean, Jim Backus, Charles Tyner, Gary Morgan, Jeff Conaway, Cal Bartlett, Charlie Callas, Walter Barnes, Al Checco",An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,6.4,20922,10000000.0,39588000.0,39588000.0,46.0,93.0,53.0
17527,tt0076618,The Rescuers,The Rescuers,1977,1978-07-14,"Animation, Adventure, Comedy",78,USA,English,"John Lounsbery, Wolfgang Reitherman","Margery Sharp, Larry Clemmons",Walt Disney Productions,"Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn, Jeanette Nolan, Pat Buttram, Jim Jordan, John McIntire, Michelle Stacy, Bernard Fox, Larry Clemmons, James MacDonald, George Lindsey, Bill McMillian, Dub Taylor",Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,6.9,53722,7500000.0,71215869.0,71215869.0,74.0,83.0,65.0
17559,tt0076706,Short Eyes,Short Eyes,1977,1979-07-20,Drama,100,USA,English,Robert M. Young,Miguel Pinero,unknown,"Bruce Davison, José Pérez, Nathan George, Don Blakely, Tony DiBenedetto, Shawn Elliott, Tito Goya, Joseph Carberry, Bob Maroff, Keith Davis, Luis Guzmán, Miguel Pinero, Bob O'Connell, Mark Margolis, Richard Matamoros",A child molester sent to prison finds that criminals exact harsher justice than society.,7.0,992,300000.0,3456.0,3456.0,53.0,18.0,23.0
17569,tt0076729,Smokey and the Bandit,Smokey and the Bandit,1977,1977-09-02,"Action, Comedy",96,USA,English,Hal Needham,"Hal Needham, Robert L. Levy",Universal Pictures,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry, Paul Williams, Pat McCormick, Alfie Wise, George Reynolds, Macon McCalman, Linda McClure, Susie Ewing, Laura Lizer Sommers, Michael Mann, Lamar Jackson, Ronnie Gay","The Bandit is hired on to run a tractor trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",7.0,41908,4300000.0,126737428.0,126737428.0,50.0,191.0,77.0
17583,tt0076759,Star Wars,Star Wars,1977,1977-12-27,"Action, Adventure, Fantasy",121,USA,English,George Lucas,George Lucas,Lucasfilm,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",8.6,1147198,11000000.0,460998507.0,775512064.0,90.0,1688.0,172.0
17700,tt0077248,Blue Collar,Blue Collar,1978,1978-02-10,"Crime, Drama",114,USA,English,Paul Schrader,"Paul Schrader, Leonard Schrader",TAT Communications Company,"Richard Pryor, Harvey Keitel, Yaphet Kotto, Ed Begley Jr., Harry Bellaver, George Memmoli, Lucy Saroyan, Lane Smith, Cliff De Young, Borah Silver, Chip Fields, Harry Northup, Leonard Gaines, Milton Selzer, Sammy Warren","When three workers try to steal from the local union, they discover the corruption of the union instead and decide to blackmail them.",7.5,6366,1700000.0,6521083.0,6521083.0,77.0,52.0,56.0
17712,tt0077280,The Buddy Holly Story,The Buddy Holly Story,1978,1978-09-06,"Biography, Drama, Music",114,USA,English,Steve Rash,"Alan Swyer, John Goldrosen",Innovisions,"Gary Busey, Don Stroud, Charles Martin Smith, Conrad Janis, William Jordan, Maria Richwine, Amy Johnston, Dick O'Neill, Fred Travalena, Neva Patterson, Arch Johnson, John F. Goff, Gloria Irizarry, Jody Berry, Richard Kennedy","The story of the life and career of the early rock and roll singer, from his meteoric rise to stardom, to his marriage and untimely death.",7.2,7666,1200000.0,14363400.0,14363400.0,78.0,64.0,33.0
17745,tt0077362,Coming Home,Coming Home,1978,1978-02-15,"Drama, Romance, War",127,USA,English,Hal Ashby,"Waldo Salt, Robert C. Jones",Jerome Hellman Productions,"Jane Fonda, Jon Voight, Bruce Dern, Penelope Milford, Robert Carradine, Robert Ginty, Mary Gregory, Kathleen Miller, Beeson Carroll, Willie Tyler, Louis Carello, Charles Cyphers, Olivia Cole, Tresa Hughes, Bruce French",A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,7.3,11501,3000000.0,32653905.0,32653905.0,61.0,78.0,49.0
17747,tt0077369,Convoy,Convoy,1978,1978-06-10,"Action, Drama",110,USA,English,Sam Peckinpah,"Bill Norton, Bill Norton",EMI Films,"Kris Kristofferson, Ali MacGraw, Ernest Borgnine, Burt Young, Madge Sinclair, Franklyn Ajaye, Brian Davies, Seymour Cassel, Cassie Yates, Walter Kelley, Jackson D. Kane, Billy Hughes, Whitey Hughes, Bill Coontz, Tommy J. Huff","Truckers form a mile long ""convoy"" in support of a trucker's vendetta with an abusive sheriff...Based on the country song of same title by C.W. McCall.",6.4,14011,12000000.0,22765081.0,22765081.0,47.0,96.0,71.0
17786,tt0077504,The End,The End,1978,1978-05-10,"Comedy, Drama",100,USA,English,Burt Reynolds,Jerry Belson,Gordon-Reynolds Productions,"Burt Reynolds, Dom DeLuise, Sally Field, Strother Martin, David Steinberg, Joanne Woodward, Norman Fell, Myrna Loy, Kristy McNichol, Pat O'Brien, Robby Benson, Carl Reiner, Louise LeTourneau, Bill Ewing, Robert Rothwell",Slapstick black comedy about a man (Reynolds) who finds that he hasn't much longer to live and has bungled his attempts at suicide.,6.2,3366,3000000.0,44917151.0,44917151.0,46.0,30.0,19.0
17789,tt0077523,Every Which Way but Loose,Every Which Way but Loose,1978,1978-12-22,"Action, Comedy",114,USA,English,James Fargo,Jeremy Joe Kronsberg,Warner Bros.,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo, Walter Barnes, George Chandler, Roy Jenson, James McEachin, Bill McKinney, William O'Connell, John Quade, Dan Vadis, Gregory Walcott, Hank Worden, Ruth Gordon",The San Fernando Valley adventures of trucker turned prize-fighter Philo Beddoe (Clint Eastwood) and his pet orangutan Clyde (Manis the Orangutan).,6.4,21667,5000000.0,85196485.0,85196485.0,41.0,84.0,29.0
17792,tt0077530,Eyes of Laura Mars,Eyes of Laura Mars,1978,1979-05-04,"Mystery, Thriller",104,USA,English,Irvin Kershner,"John Carpenter, David Zelag Goodman",Columbia Pictures,"Faye Dunaway, Tommy Lee Jones, Brad Dourif, Rene Auberjonois, Raul Julia, Frank Adonis, Lisa Taylor, Darlanne Fluegel, Rose Gregorio, Bill Boggs, Steve Marachuk, Meg Mundy, Marilyn Meyers, Gary Bayer, Mitchell Edmonds",A famous fashion photographer develops a disturbing ability to see through the eyes of a killer.,6.2,8028,7000000.0,20000000.0,20000000.0,49.0,83.0,83.0
17826,tt0077631,Grease,Grease,1978,1978-09-15,"Musical, Romance",110,USA,English,Randal Kleiser,"Jim Jacobs, Warren Casey",Paramount Pictures,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Frankie Avalon, Joan Blondell, Edd Byrnes, Sid Caesar","Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",7.2,217392,6000000.0,189969103.0,396961563.0,70.0,393.0,99.0
17831,tt0077651,Halloween,Halloween,1978,1980-03-07,"Horror, Thriller",91,USA,English,John Carpenter,"John Carpenter, Debra Hill",Compass International Pictures,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles, Charles Cyphers, Kyle Richards, Brian Andrews, John Michael Graham, Nancy Stephens, Arthur Malet, Mickey Yablans, Brent Le Page, Adam Hollander, Robert Phalen, Tony Moran","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.8,213657,325000.0,47000000.0,47000000.0,81.0,1399.0,406.0
