,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
21131,tt0088850,Brewster's Millions,Brewster's Millions,1985,1985-08-23,Comedy,102,USA,English,Walter Hill,"George Barr McCutcheon, Herschel Weingrod",Universal Pictures,"Richard Pryor, John Candy, Lonette McKee, Stephen Collins, Jerry Orbach, Pat Hingle, Tovah Feldshuh, Hume Cronyn, Joe Grifasi, Peter Jason, David White, Jerome Dempsey, David Wohl, Ji-Tu Cumbuka, Milt Kogan","A minor league baseball player has to spend thirty million dollars in thirty days, in order to inherit three hundred million dollars. However, he's not allowed to tell anyone about the deal.",6.5,33483,20000000.0,40833132.0,45833132.0,37.0,65.0,45.0
21150,tt0088915,A Chorus Line,A Chorus Line,1985,1986-01-24,"Drama, Music, Musical",113,USA,English,Richard Attenborough,"Arnold Schulman, Michael Bennett",Embassy Pictures,"Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown, Gregg Burge, Michael Douglas, Cameron English, Tony Fields, Nicole Fosse, Vicki Frederick, Michelle Johnston, Janet Jones, Pam Klinger, Audrey Landers, Terrence Mann",Hopefuls try out before a demanding director for a part in a new musical.,6.2,8687,27000000.0,14202899.0,14202899.0,46.0,92.0,32.0
21156,tt0088933,Cocoon,Cocoon,1985,1985-09-20,"Comedy, Drama, Sci-Fi",117,USA,English,Ron Howard,"Tom Benedek, David Saperstein",Twentieth Century Fox,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy, Jack Gilford, Steve Guttenberg, Maureen Stapleton, Jessica Tandy, Gwen Verdon, Herta Ware, Tahnee Welch, Barret Oliver, Linda Harrison, Tyrone Power Jr., Clint Howard","When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",6.7,53537,17500000.0,76113124.0,85313124.0,65.0,86.0,55.0
21158,tt0088936,Code of Silence,Code of Silence,1985,1985-10-04,"Action, Crime, Drama",101,USA,English,Andrew Davis,"Michael Butler, Dennis Shryack",Orion Pictures,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese, Nathan Davis, Ralph Foody, Allen Hamilton, Ron Henriquez, Joe Guzaldo, Molly Hagan, Ron Dean, Wilbert Bradley, Dennis Farina, Gene Barge, Mario Nieves",A Chicago cop is caught in a middle of a gang war while his own comrades shun him because he wants to take an irresponsible cop down.,6.1,6286,7000000.0,20345361.0,20345361.0,64.0,55.0,43.0
21160,tt0088939,The Color Purple,The Color Purple,1985,1986-07-11,Drama,154,USA,English,Steven Spielberg,"Menno Meyjes, Alice Walker",Amblin Entertainment,"Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey, Willard E. Pugh, Akosua Busia, Desreta Jackson, Adolph Caesar, Rae Dawn Chong, Dana Ivey, Leonard Jackson, Bennet Guillory, John Patton Jr., Carl Anderson, Susan Beaubian",A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,7.8,72853,15000000.0,98467863.0,98467863.0,78.0,222.0,79.0
21162,tt0088944,Commando,Commando,1985,1986-03-28,"Action, Adventure, Thriller",90,USA,English,Mark L. Lester,"Jeph Loeb, Matthew Weisman",SLM Production Group,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells, James Olson, David Patrick Kelly, Alyssa Milano, Bill Duke, Drew Snyder, Sharon Wyatt, Michael DeLano, Bob Minor, Michael Adams, Gary Carlos Cervantes, Lenny Juliano","A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",6.7,137177,10000000.0,35100000.0,57491000.0,51.0,473.0,141.0
21170,tt0088967,Crimewave,Crimewave,1985,1986-04-25,"Comedy, Crime, Horror",83,USA,English,Sam Raimi,"Ethan Coen, Joel Coen",Columbia Pictures,"Louise Lasser, Paul L. Smith, Brion James, Sheree J. Wilson, Edward R. Pressman, Bruce Campbell, Reed Birney, Richard Bright, Antonio Fargas, Hamid Dana, John Hardy, Emil Sitka, Hal Youngblood, Sean Farley, Richard DeManincor","A pair of whacked-out cartoon-like exterminator/hitmen kill the owner of a burglar-alarm company, and stalk the partner who hired them, his wife, and a nerd framed for the murder, who tells the story in flashback from the electric chair.",5.7,4816,3000000.0,5101.0,5101.0,34.0,56.0,36.0
21178,tt0088993,Day of the Dead,Day of the Dead,1985,1987-01-23,"Horror, Thriller",96,USA,English,George A. Romero,George A. Romero,United Film Distribution Company (UFDC),"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy, Anthony Dileo Jr., Richard Liberty, Sherman Howard, Gary Howard Klar, Ralph Marrero, John Amplas, Phillip G. Kellams, Taso N. Stavrakis, Greg Nicotero, Don Brockett, William Cameron",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,7.2,59462,3500000.0,5000000.0,5000000.0,60.0,439.0,200.0
21187,tt0089017,Desperately Seeking Susan,Desperately Seeking Susan,1985,1985-10-11,"Comedy, Drama",104,USA,English,Susan Seidelman,Leora Barish,Orion Pictures,"Rosanna Arquette, Madonna, Aidan Quinn, Mark Blum, Robert Joy, Laurie Metcalf, Anna Levine, Will Patton, Peter Maloney, Steven Wright, John Turturro, Anne Carlisle, José Angel Santana, Giancarlo Esposito, Richard Hell","A bored suburban housewife, seeking escape from her life, suffers amnesia after an accident, wakes up, and is mistaken for a free-spirited New York City drifter named Susan.",6.0,19556,4500000.0,27398584.0,27398584.0,71.0,70.0,35.0
21221,tt0089118,F/X,F/X,1986,1986-02-07,"Action, Thriller",109,USA,English,Robert Mandel,"Robert T. Megginson, Gregory Fleeman",Orion Pictures,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff De Young, Mason Adams, Jerry Orbach, Joe Grifasi, Martha Gehman, Roscoe Orman, Trey Wilson, Tom Noonan, Paul D'Amato, Jossie DeGuzman, Jean De Baer, M'el Dowd","A movie special effects man is hired to fake a real-life mob killing for a witness protection plan, but finds his own life in danger.",6.7,16327,10000000.0,20603715.0,20603715.0,71.0,54.0,37.0
21232,tt0089155,Fletch,Fletch,1985,1985-10-04,"Comedy, Crime, Mystery",98,USA,English,Michael Ritchie,"Gregory McDonald, Andrew Bergman",Universal Pictures,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini, Tim Matheson, M. Emmet Walsh, George Wendt, Kenneth Mars, Geena Davis, Bill Henderson, William Traylor, George Wyner, Tony Longo, Larry Flash Jenkins, Ralph Seymour","Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job and finding clues when it's clear the man is healthy.",6.9,44741,8000000.0,50612888.0,59612888.0,68.0,121.0,66.0
21240,tt0089173,Friday the 13th: A New Beginning,Friday the 13th: A New Beginning,1985,1985-03-22,"Horror, Mystery, Thriller",92,USA,English,Danny Steinmann,"Martin Kitrosser, David Cohen",Georgetown Productions Inc.,"Anthony Barrile, Suzanne Bateman, Dominick Brascia, Todd Bryant, Curtis Conaway, Juliette Cummins, Bob DeSimone, John Robert Dixon, Corey Feldman, Jere Fields, Tiffany Helm, Melanie Kinnaman, Richard Lineback, Carol Locatell, Ric Mancini","Still haunted by his past, Tommy Jarvis - who, as a child, killed Jason Voorhees - wonders if the serial killer is connected to a series of brutal murders occurring in and around the secluded halfway house where he now lives.",4.8,30692,2200000.0,21930418.0,21930418.0,16.0,370.0,145.0
21241,tt0089175,Fright Night,Fright Night,1985,1986-05-30,"Horror, Thriller",106,USA,English,Tom Holland,Tom Holland,Columbia Pictures,"Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall, Stephen Geoffreys, Jonathan Stark, Dorothy Fielding, Art Evans, Stewart Stern, Nick Savage, Ernie Holmes, Heidi Sorenson, Irina Irvine, Bob Corff, Pamela Brown","A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",7.1,55431,9000000.0,24922237.0,24922237.0,62.0,308.0,157.0
21324,tt0089444,Krush Groove,Krush Groove,1985,1985-10-25,"Comedy, Drama, Music",97,USA,English,Michael Schultz,Ralph Farquhar,Crystalite Productions,"Sheila E., Joseph Simmons, Darryl McDaniels, Jason Mizell, Mark Morales, Damon Wimbley, Darren Robinson, Kurtis Blow, Blair Underwood, Ricky Bell, Michael Bivins, Bobby Brown, Ronnie DeVoe, Ralph E. Tresvant, LisaGay Hamilton","In this movie based on the early days of Def Jam Recordings, up-and-coming manager Russell Walker manages all the hottest acts on the record label Krush Groove Records, which include ...",6.5,2690,3000000.0,11052713.0,11052713.0,37.0,18.0,6.0
21355,tt0089560,Mask,Mask,1985,1985-08-16,"Biography, Drama",120,USA,English,Peter Bogdanovich,Anna Hamilton Phelan,Universal Pictures,"Cher, Sam Elliott, Eric Stoltz, Estelle Getty, Richard Dysart, Laura Dern, Micole Mercurio, Harry Carey Jr., Dennis Burkley, Lawrence Monoson, Ben Piazza, L. Craig King, Alexandra Powers, Kelly Jo Minter, Joe Unger",A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.,7.2,24458,8000000.0,48230162.0,48230162.0,73.0,97.0,23.0
21394,tt0089686,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,1987-01-09,Horror,87,USA,English,Jack Sholder,"David Chaskin, Wes Craven",New Line Cinema,"Mark Patton, Kim Myers, Robert Rusler, Clu Gulager, Hope Lange, Marshall Bell, Melinda O. Fee, Tom McFadden, Sydney Walsh, Robert Englund, Edward Blackoff, Christie Clark, Lyman Ward, Donna Bruce, Hart Sprager","A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",5.5,56888,3000000.0,29999213.0,29999213.0,43.0,353.0,129.0
21411,tt0089730,Once Bitten,Once Bitten,1985,1985-11-15,"Comedy, Fantasy, Horror",94,USA,English,Howard Storm,"Dimitri Villard, David Hines",Night Life Inc.,"Lauren Hutton, Jim Carrey, Karen Kopins, Cleavon Little, Thomas Ballatore, Skip Lackey, Jeb Stuart Adams, Joseph Brutsman, Stuart Charno, Robin Klein, Glen Mauro, Gary Mauro, Carey More, Peter Elbling, Richard Schaal","A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall.",5.5,12377,3200000.0,10000000.0,10000000.0,64.0,56.0,45.0
21426,tt0089767,Pale Rider,Pale Rider,1985,1985-10-04,"Drama, Western",115,USA,English,Clint Eastwood,"Michael Butler, Dennis Shryack",The Malpaso Company,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn, Richard Dysart, Sydney Penny, Richard Kiel, Doug McGrath, John Russell, Charles Hallahan, Marvin J. McIntyre, Fran Ryan, Richard Hamilton, Graham Paul, Chuck Lafont",A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land.,7.3,48903,6900000.0,41410568.0,41410568.0,61.0,153.0,50.0
21435,tt0089798,Perfect,Perfect,1985,1985-06-07,"Drama, Romance",115,USA,English,James Bridges,"Aaron Latham, Aaron Latham",Columbia Pictures,"Ramey Ellis, Alma Beltran, Perla Walter, Gina Morelli, John Travolta, John Napierala, Stefan Gierasch, Jann Wenner, Anne De Salvo, Philippe Delgrange, Tom Schiller, Paul Kent, Murphy Dunne, Kenneth Welsh, Michael Laskin","A female aerobics instructor meets a male reporter doing a story on health clubs, but it isn't love at first sight.",4.5,4288,19000000.0,12918858.0,12918858.0,46.0,43.0,16.0
21445,tt0089822,Police Academy 2: Their First Assignment,Police Academy 2: Their First Assignment,1985,1985-07-19,Comedy,87,USA,English,"Jerry Paris, James Signorelli","Neal Israel, Pat Proft",Warner Bros.,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow, Bruce Mahler, Marion Ramsey, Colleen Camp, Howard Hesseman, Art Metrano, George Gaynes, Bobcat Goldthwait, Julie Brown, Peter Van Norden, Tim Kazurinsky, Ed Herlihy",When a new gang moves into town it's up to the screwball police team to stop them.,5.8,48103,7600000.0,55600000.0,55600000.0,39.0,86.0,29.0
21457,tt0089853,The Purple Rose of Cairo,The Purple Rose of Cairo,1985,1986-01-10,"Comedy, Fantasy, Romance",82,USA,English,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman, Stephanie Farrow, David Kieserman, Elaine Grollman, Victoria Zussin, Mark Hammond, Wade Barnes, Joseph G. Graham, Don Quigley, Maurice Brenner, Paul Herman, Rick Petrucelli","In New Jersey in 1935, a movie character walks off the screen and into the real world.",7.7,43967,15000000.0,10631333.0,10631333.0,75.0,150.0,87.0
21469,tt0089886,Real Genius,Real Genius,1985,1985-08-07,"Comedy, Romance, Sci-Fi",108,USA,English,Martha Coolidge,"Neal Israel, Neal Israel",Delphi III Productions,"Val Kilmer, Gabriel Jarret, Michelle Meyrink, William Atherton, Jon Gries, Patti D'Arbanville, Stacy Peralta, Daniel Ades, Andres Aybar, Louis Giambalvo, Ed Lauter, Charles Shull, Beau Billingslea, Charles Parks, Sean Frye","Teenage geniuses deal with their abilities while developing a high-powered laser for a university project. When their professor intends to turn their work into a military weapon, they decide to ruin his plans.",7.0,28528,8000000.0,12952019.0,12952019.0,71.0,140.0,55.0
21477,tt0089907,The Return of the Living Dead,The Return of the Living Dead,1985,1985-08-16,"Comedy, Horror, Sci-Fi",91,USA,English,Dan O'Bannon,"Rudy Ricci, John A. Russo",Hemdale,"Clu Gulager, James Karen, Don Calfa, Thom Mathews, Beverly Randolph, John Philbin, Jewel Shepard, Miguel A. Núñez Jr., Brian Peck, Linnea Quigley, Mark Venturini, Jonathan Terry, Cathleen Cordell, Drew Deighan, James Dalesandro","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",7.3,50738,4000000.0,14237880.0,14237880.0,66.0,322.0,231.0
21489,tt0089941,Runaway Train,Runaway Train,1985,1986-08-22,"Action, Adventure, Drama",111,USA,English,Andrey Konchalovskiy,"Djordje Milicevic, Paul Zindel",Golan-Globus Productions,"Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner, John P. Ryan, T.K. Carter, Kenneth McMillan, Stacey Pickren, Walter Wyatt, Edward Bunker, Reid Cruickshanks, Dan Wray, Michael Lee Gogin, John Bloom, Hank Worden",Two escaped convicts and a female railway worker find themselves trapped on a train with no brakes and nobody driving.,7.2,24866,9000000.0,7683620.0,7683620.0,67.0,169.0,70.0
21512,tt0090022,Silverado,Silverado,1985,1986-01-10,"Action, Crime, Drama",133,USA,English,Lawrence Kasdan,"Lawrence Kasdan, Mark Kasdan",Columbia Pictures,"Kevin Kline, Scott Glenn, Kevin Costner, Danny Glover, Marvin J. McIntyre, Brad Leland, Sheb Wooley, Jonathan Kasdan, John Cleese, Todd Allen, Kenny Call, Bill Thurman, Meg Kasdan, Dick Durock, Gene Hartline",A misfit bunch of friends come together to right the injustices which exist in a small town.,7.2,34831,26000000.0,32192570.0,32192570.0,64.0,177.0,54.0
21525,tt0090060,St. Elmo's Fire,St. Elmo's Fire,1985,1986-01-23,"Drama, Romance",110,USA,English,Joel Schumacher,"Joel Schumacher, Carl Kurlander",Columbia Pictures,"Emilio Estevez, Rob Lowe, Andrew McCarthy, Demi Moore, Judd Nelson, Ally Sheedy, Mare Winningham, Martin Balsam, Andie MacDowell, Joyce Van Patten, Jenny Wright, Blake Clark, Jon Cutler, Matthew Laurance, Gina Hecht","A group of friends, just out of college, struggle with adulthood.",6.4,33397,10000000.0,37803872.0,37803872.0,35.0,167.0,45.0
21541,tt0090103,The Sure Thing,The Sure Thing,1985,1986-09-12,"Comedy, Drama, Romance",100,USA,English,Rob Reiner,"Steve Bloom, Jonathan Roberts",Embassy Pictures,"John Cusack, Daphne Zuniga, Anthony Edwards, Boyd Gaines, Tim Robbins, Lisa Jane Persky, Viveca Lindfors, Nicollette Sheridan, Marcia Christie, Robert Anthony Marcucci, Sarah Buxton, Lorrie Lightle, Joshua Cadman, Krystal Richards, John Putch","A college student plans a cross-country trip to get laid, but ends up traveling with a young woman. They hate each other, so naturally...",7.0,18041,4500000.0,18135531.0,18135531.0,76.0,77.0,52.0
21621,tt0090305,Weird Science,Weird Science,1985,1985-11-15,"Comedy, Romance, Sci-Fi",94,USA,English,John Hughes,John Hughes,Universal Pictures,"Anthony Michael Hall, Kelly LeBrock, Ilan Mitchell-Smith, Bill Paxton, Suzanne Snyder, Judie Aronson, Robert Downey Jr., Robert Rusler, Vernon Wells, Britt Leach, Barbara Lang, Michael Berryman, Ivor Barry, Ann Coyle, Suzy J. Kellems","Two high school nerds use a computer program to literally create the perfect woman, but she turns their lives upside down.",6.6,74543,7500000.0,23834048.0,38934048.0,46.0,166.0,84.0
21673,tt0090583,About Last Night...,About Last Night...,1986,1986-11-28,"Comedy, Drama, Romance",113,USA,English,Edward Zwick,"David Mamet, Tim Kazurinsky",TriStar Pictures,"Rob Lowe, Demi Moore, Jim Belushi, Elizabeth Perkins, George DiCenzo, Michael Alldredge, Robin Thomas, Donna Gibbons, Megan Mullally, Patricia Duff, Rosanna DeSoto, Sachi Parker, Robert Neches, Joe Greco, Ada Maris","A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",6.2,13520,8500000.0,38702310.0,38702310.0,70.0,85.0,42.0
21695,tt0090660,Armed and Dangerous,Armed and Dangerous,1986,1986-08-15,"Action, Comedy, Crime",88,USA,English,Mark L. Lester,"Brian Grazer, Harold Ramis",Columbia Pictures,"John Candy, Eugene Levy, Robert Loggia, Kenneth McMillan, Meg Ryan, Brion James, Jonathan Banks, Don Stroud, Larry Hankin, Steve Railsback, Robert Burgos, Tony Burton, Robert Gray, Larry Flash Jenkins, Stacy Keach Sr.",A fired cop and useless lawyer sign up as security guards and find they've joined a corrupt union.,5.7,10113,12000000.0,15945534.0,15945534.0,17.0,38.0,13.0
21698,tt0090670,At Close Range,At Close Range,1986,1986-04-18,"Crime, Drama",111,USA,English,James Foley,"Elliott Lewitt, Nicholas Kazan",Cinema '85,"Sean Penn, Christopher Walken, Mary Stuart Masterson, Chris Penn, Millie Perkins, Eileen Ryan, Tracey Walter, R.D. Call, David Strathairn, J.C. Quinn, Candy Clark, Jake Dengel, Kiefer Sutherland, Stephen Geoffreys, Crispin Glover","In 1978 Pennsylvania, an absentee father is reacquainted with his estranged teenage sons who become intrigued with his romanticized life of crime.",7.0,13181,6500000.0,2347000.0,2347000.0,67.0,98.0,43.0
21705,tt0090685,Back to School,Back to School,1986,1987-07-17,"Comedy, Romance, Sport",96,USA,English,Alan Metter,"Rodney Dangerfield, Greg Fields",Orion Pictures,"Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon, Robert Downey Jr., Paxton Whitehead, Terry Farrell, M. Emmet Walsh, Adrienne Barbeau, William Zabka, Ned Beatty, Severn Darden, Sam Kinison, Robert Picardo, Kurt Vonnegut Jr.","To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",6.6,26127,11000000.0,91258000.0,91258000.0,68.0,87.0,29.0
21722,tt0090756,Blue Velvet,Blue Velvet,1986,1986-11-05,"Drama, Mystery, Thriller",120,USA,English,David Lynch,David Lynch,De Laurentiis Entertainment Group (DEG),"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern, Hope Lange, Dean Stockwell, George Dickerson, Priscilla Pointer, Frances Bay, Jack Harvey, Ken Stovitz, Brad Dourif, Jack Nance, J. Michael Hunter, Dick Green","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",7.8,166750,6000000.0,8551228.0,8617408.0,76.0,736.0,221.0
21756,tt0090856,Club Paradise,Club Paradise,1986,1986-07-11,Comedy,96,USA,English,Harold Ramis,"Harry Shearer, Tom Leopold",Warner Bros.,"Robin Williams, Peter O'Toole, Rick Moranis, Jimmy Cliff, Twiggy, Adolph Caesar, Eugene Levy, Joanna Cassidy, Andrea Martin, Brian Doyle-Murray, Joe Flaherty, Steven Kampmann, Robin Duke, Mary Gross, Simon Jones","A retired Chicago fireman partners with a reggae singer to turn a seedy Caribbean nightclub into a resort for affluent tourists. A crazy comedy co-starring Rick Moranis, Peter O'Toole, Eugene Levy, more.",5.1,5559,15000000.0,12308521.0,12308521.0,40.0,42.0,12.0
21767,tt0090887,Critters,Critters,1986,1987-09-11,"Comedy, Horror, Sci-Fi",86,USA,English,Stephen Herek,"Domonic Muir, Domonic Muir",New Line Cinema,"Dee Wallace, M. Emmet Walsh, Billy Green Bush, Scott Grimes, Nadine Van der Velde, Don Keith Opper, Billy Zane, Ethan Phillips, Terrence Mann, Jeremy Lawrence, Lin Shaye, Michael Lee Gogin, Art Frankel, Douglas Koth, Montrose Hagins","A group of small, furry aliens makes lunch out of the locals in a farming town.",6.1,29261,2000000.0,13167232.0,13167232.0,52.0,131.0,95.0
21794,tt0090966,Down and Out in Beverly Hills,Down and Out in Beverly Hills,1986,1986-07-18,Comedy,103,USA,English,Paul Mazursky,"René Fauchois, Paul Mazursky",Touchstone Pictures,"Nick Nolte, Bette Midler, Richard Dreyfuss, Little Richard, Tracy Nelson, Elizabeth Peña, Evan Richards, Mike the Dog, Donald F. Muhich, Paul Mazursky, Valerie Curtin, Jack Bruskoff, Geraldine Dreyfuss, Barry Primus, Irene Tsu",A rich but troubled family find their lives altered by the arrival of a vagrant who tries to drown himself in their swimming pool.,6.2,14723,14000000.0,62134225.0,62134225.0,82.0,49.0,24.0
21825,tt0091059,Flight of the Navigator,Flight of the Navigator,1986,1987-07-10,"Adventure, Comedy, Family",90,USA,English,Randal Kleiser,"Mark H. Baker, Michael Burton",Walt Disney Pictures,"Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright, Sarah Jessica Parker, Albie Whitaker, Matt Adler, Howard Hesseman, Robert Small, Jonathan Sanger, Iris Acker, Richard Liberty, Raymond Forchion, Cynthia Caquelin, Ted Bartsch","In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.",6.9,41331,9000000.0,18564613.0,18564613.0,64.0,116.0,52.0
21834,tt0091080,Friday the 13th Part VI: Jason Lives,Friday the 13th Part VI: Jason Lives,1986,1986-08-01,"Horror, Thriller",86,USA,English,Tom McLoughlin,Tom McLoughlin,Paramount Pictures,"Thom Mathews, Jennifer Cooke, David Kagen, Kerry Noonan, Renée Jones, Tom Fridley, C.J. Graham, Darcy DeMoss, Vincent Guastaferro, Tony Goldwyn, Nancy McLoughlin, Ron Palillo, Alan Blumenfeld, Matthew Faison, Ann Ryerson","Tommy Jarvis goes to the graveyard to get rid of Jason Voorhees' body once and for all, but inadvertently brings him back to life instead. The newly revived killer once again seeks revenge, and Tommy may be the only one who can defeat him.",6.0,34866,3000000.0,19472057.0,19472057.0,30.0,333.0,182.0
21856,tt0091129,The Golden Child,The Golden Child,1986,1987-01-23,"Action, Adventure, Comedy",94,USA,English,Michael Ritchie,Dennis Feldman,Paramount Pictures,"J.L. Reate, Eddie Murphy, Charles Dance, Charlotte Lewis, Victor Wong, Randall 'Tex' Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee, Pons Maar, Peter Kwong, Wally Taylor, Eric Douglas, Charles Levin",A private detective specializing in missing children is charged with the task of finding a special child whom dark forces want to eliminate.,6.0,48164,25000000.0,79817937.0,79817937.0,37.0,83.0,35.0
21864,tt0091159,Gung Ho,Gung Ho,1986,1986-03-14,"Comedy, Drama",112,USA,English,Ron Howard,"Edwin Blum, Lowell Ganz",Paramount Pictures,"Michael Keaton, Gedde Watanabe, George Wendt, Mimi Rogers, John Turturro, Sô Yamamura, Sab Shimono, Rick Overton, Clint Howard, Jihmi Kennedy, Michelle Johnson, Rodney Kageyama, Rance Howard, Patti Yasutake, Jerry Tondo","When a Japanese car company buys an American plant, the American liaison must mediate the clash of work attitudes between the foreign management and native labor.",6.3,11050,18000000.0,36611610.0,36611610.0,48.0,54.0,12.0
21868,tt0091167,Hannah and Her Sisters,Hannah and Her Sisters,1986,1986-10-24,"Comedy, Drama",107,USA,English,Woody Allen,Woody Allen,Orion Pictures,"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow, Dianne Wiest, Maureen O'Sullivan, Lloyd Nolan, Max von Sydow, Woody Allen, Lewis Black, Julia Louis-Dreyfus, Christian Clemenson, Julie Kavner, J.T. Walsh, John Turturro","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",7.9,62910,6400000.0,40084041.0,40084041.0,90.0,180.0,79.0
21875,tt0091188,Heartburn,Heartburn,1986,1987-01-09,"Comedy, Drama",108,USA,English,Mike Nichols,"Nora Ephron, Nora Ephron",Paramount Pictures,"Meryl Streep, Jack Nicholson, Jeff Daniels, Maureen Stapleton, Stockard Channing, Richard Masur, Catherine O'Hara, Steven Hill, Milos Forman, Mamie Gummer, Karen Akers, Aida Linares, Anna Maria Horsford, Ron McLarty, Kenneth Welsh",A food writer pregnant with her second baby finds out her husband is having an affair.,6.1,8608,20000000.0,25314189.0,25314189.0,49.0,46.0,18.0
21886,tt0091223,House,House,1985,1986-02-28,"Comedy, Fantasy, Horror",93,USA,English,Steve Miner,"Fred Dekker, Ethan Wiley",New World Pictures,"William Katt, George Wendt, Richard Moll, Kay Lenz, Mary Stavin, Michael Ensign, Erik Silver, Mark Silver, Susan French, Alan Autry, Steven Williams, James Calvert, Mindy Sterling, Jayson Kane, Billy Beck",A troubled writer moves into a haunted house after inheriting it from his aunt.,6.2,21534,3000000.0,19444631.0,19444631.0,44.0,136.0,113.0
21887,tt0091225,Howard the Duck,Howard the Duck,1986,1986-12-12,"Action, Adventure, Comedy",110,USA,English,Willard Huyck,"Steve Gerber, Willard Huyck",Universal Pictures,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale, Chip Zien, Tim Rose, Steve Sleap, Peter Baird, Mary Wells, Lisa Sturz, Jordan Prentice, Paul Guilfoyle, Liz Sagal, Dominique Davalos, Holly Robinson Peete",A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.,4.7,40594,37000000.0,16295774.0,37962774.0,28.0,320.0,100.0
21929,tt0091344,King Kong Lives,King Kong Lives,1986,1986-12-19,"Action, Adventure",105,USA,English,John Guillermin,"Ronald Shusett, Steven Pressfield",De Laurentiis Entertainment Group (DEG),"Peter Elliott, George Antoni, Brian Kerwin, Linda Hamilton, John Ashton, Peter Michael Goetz, Frank Maraden, Alan Sader, Lou Criscuolo, Marc Clement, Richard Rhodes, Larry Souder, Ted Prichard, Jayne Gray, Debbie McLeod","Kong falls from the twin towers and he appears to be alive. However, his heart is failing, so it's replaced with an artificial one. All is well until he senses that there's a female Kong somewhere out there and escapes wreaking havoc.",3.9,5048,10000000.0,4711220.0,4711220.0,32.0,65.0,45.0
21953,tt0091419,Little Shop of Horrors,Little Shop of Horrors,1986,1986-12-19,"Comedy, Horror, Musical",94,USA,English,Frank Oz,"Howard Ashman, Howard Ashman",The Geffen Company,"Levi Stubbs, Rick Moranis, Ellen Greene, Vincent Gardenia, Steve Martin, Tichina Arnold, Michelle Weeks, Tisha Campbell-Martin, Jim Belushi, John Candy, Christopher Guest, Bill Murray, Stan Jones, Bertice Reading, Ed Wiley",A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,7.0,60324,25000000.0,38982260.0,38982260.0,81.0,184.0,81.0
